agency,last_name,first_name,middle_name,recent_employment,funding_source,is_team_lead,full_name,row_index
Department of Homeland Security,Moore-Merrell,Lori,,International Public Safety Data Institute,Volunteer,False,Lori Moore-Merrell,11
Department of Homeland Security,Neffenger,Peter,,Self-employed,Volunteer,False,Peter Neffenger,12
Department of Homeland Security,Nuñez-Neto,Blas,,RAND Corporation,Volunteer,False,Blas Nuñez-Neto,13
Department of Homeland Security,O’Connor,Kimberly,,"The Levy Group, Inc.",Volunteer,False,Kimberly O’Connor,14
Department of Homeland Security,Olavarria,Esther,,Self-employed,Volunteer,False,Esther Olavarria,15
Department of Homeland Security,Dupree,Lynn,Parker,Capital One Financial Corporation,Volunteer,False,Lynn Parker Dupree,16
Department of Homeland Security,Ramanathan,Subhasri,,"Deloitte & Touche, LLP",Volunteer,False,Subhasri Ramanathan,17
Department of Homeland Security,Rosen,Paul,,"Crowell & Moring, LLP",Volunteer,False,Paul Rosen,18
Department of Homeland Security,Silverberg,Samantha,,Massachusetts Bay Transportation Authority,Volunteer,False,Samantha Silverberg,19
Department of Homeland Security,Silvers,Robert,,"Paul Hastings, LLP",Volunteer,False,Robert Silvers,20
Department of Homeland Security,Tisdale,Nicole,,"Advocacy Blueprints, LLC",Volunteer,False,Nicole Tisdale,21
Department of Homeland Security,Ulloa,Isabella,,Urban Alliance,Volunteer,False,Isabella Ulloa,22
Department of State,Thomas-Greenfield,Linda,,Albright Stonebridge Group,Volunteer,True,Linda Thomas-Greenfield,1
Department of State,Amr,Hady,,Brookings Institution,Volunteer,False,Hady Amr,2
Department of State,Biniaz,Susan,,United Nations Foundation,Volunteer,False,Susan Biniaz,3
Department of State,Blair,Oni,,LINK Houston,Volunteer,False,Oni Blair,4
Department of State,Chollet,Derek,,The German Marshall Fund of the United States,Volunteer,False,Derek Chollet,5
Department of State,Colon,Frances,,Self-employed,Volunteer,False,Frances Colon,6
Department of State,Crocker,Bathsheba,,CARE,Volunteer,False,Bathsheba Crocker,7
Department of State,Cross,Sarah,,Open Society Foundations,Volunteer,False,Sarah Cross,8
Department of State,Guest,Michael,,Self-employed,Volunteer,False,Michael Guest,9
Department of State,Guha,Sumona,,Albright Stonebridge Group,Volunteer,False,Sumona Guha,10
Department of State,Harrell,Peter,,Self-employed,Volunteer,False,Peter Harrell,11
Department of State,Herrnstadt,Owen,,International Association of Machinists and Aerospace Workers,Volunteer,False,Owen Herrnstadt,12
Department of State,Jacobson,Roberta,,Albright Stonebridge Group,Volunteer,False,Roberta Jacobson,13
Department of State,Jenkins,Bonnie,,Women of Color Advancing Peace and Security,Volunteer,False,Bonnie Jenkins,14
Department of State,Kahan,Alexandra,,Boston Consulting Group,Volunteer,False,Alexandra Kahan,15
Department of State,Konyndyk,Jeremy,,Center for Global Development,Volunteer,False,Jeremy Konyndyk,16
Department of State,Laskowski,Ellison,,The German Marshall Fund of the United States,Volunteer,False,Ellison Laskowski,17
Department of State,Lombardo,Allison,,Deloitte Consulting LLC,Volunteer,False,Allison Lombardo,18
Department of State,Majma,Raphael,,Alloy,Volunteer,False,Raphael Majma,19
Department of State,McEldowney,Nancy,,Georgetown University,Volunteer,False,Nancy McEldowney,20
Department of State,McIntyre,Amber,,"HWC, Inc.",Volunteer,False,Amber McIntyre,21
Department of State,Mendrala,Emily,,Center for Democracy in the Americas,Volunteer,False,Emily Mendrala,22
Department of State,Rhee,Jane,,The Estee Lauder Companies,Volunteer,False,Jane Rhee,23
Department of State,Saad,Fouad,,Self-employed,Volunteer,False,Fouad Saad,24
Department of State,Smith,Gentry,,Self-employed,Volunteer,False,Gentry Smith,25
Department of State,Stroul,Dana,,The Washington Institute for Near East Policy,Volunteer,False,Dana Stroul,26
Department of State,Sullivan,Tom,,"Amazon.com, Inc.",Volunteer,False,Tom Sullivan,27
Department of State,Talwar,Puneet,,Self-employed,Volunteer,False,Puneet Talwar,28
Department of State,Taylor,Margaret,,Brookings Institution,Volunteer,False,Margaret Taylor,29
Department of State,Toloui,Ramin,,Stanford University,Volunteer,False,Ramin Toloui,30
Department of the Treasury,Graves,Don,,KeyBank,Transition — ,True,Don Graves,1
Department of the Treasury,Baradaran,Mehrsa,,"University of California, Irvine School of Law",Volunteer,False,Mehrsa Baradaran,2
Department of the Treasury,Barr,Michael,,"University of Michigan, Gerald R. Ford School of Public Policy",Volunteer,False,Michael Barr,3
Department of the Treasury,Batchelder,Lily,,"New York University, School of Law",Volunteer,False,Lily Batchelder,4
Department of the Treasury,Bentivoglio,John,,"Skadden, Arps, Slate, Meagher & Flom LLP",Volunteer,False,John Bentivoglio,5
Department of the Treasury,Brummer,Chris,,Georgetown University,Volunteer,False,Chris Brummer,6
Department of the Treasury,Chang,Liyan,David,Devoted Health,Volunteer,False,Liyan David Chang,7
Department of the Treasury,Crebo-Rediker,Heidi,,"International Capital Strategies, LLC",Volunteer,False,Heidi Crebo-Rediker,8
Department of the Treasury,Fields,Will,,Sidewalk Labs,Volunteer,False,Will Fields,9
Department of the Treasury,Fritzberg,Suzanna,,Birmingham Strong,Volunteer,False,Suzanna Fritzberg,10
Department of the Treasury,Green,Andy,,Center for American Progress,Volunteer,False,Andy Green,11
Department of the Treasury,Hinson,David,,Ategra Capital Management,Volunteer,False,David Hinson,12
Department of the Treasury,Isaac,Nicole,,LinkedIn Corporation,Volunteer,False,Nicole Isaac,13
Department of the Treasury,Johnson,Simon,,Massachusetts Institute of Technology,Volunteer,False,Simon Johnson,14
Department of the Treasury,Kanovsky,Helen,,Mortgage Bankers Association,Volunteer,False,Helen Kanovsky,15
Department of the Treasury,Lago,Marisa,,"New York City, Department of City Planning",Volunteer,False,Marisa Lago,16
Department of the Treasury,Lee,Nancy,,Center for Global Development,Volunteer,False,Nancy Lee,17
Department of the Treasury,Miller,Sarah,,American Economic Liberties Project,Volunteer,False,Sarah Miller,18
Department of the Treasury,Raseman,Sophie,,"Brightside Benefit, Inc.",Volunteer,False,Sophie Raseman,19
Department of the Treasury,Rios,Rosie,,Self-employed,Volunteer,False,Rosie Rios,20
Department of the Treasury,Roberts,Buzz,,National Association of Affordable Housing Lenders,Volunteer,False,Buzz Roberts,21
Department of the Treasury,Rosenberg,Elizabeth,,Center for a New American Security,Volunteer,False,Elizabeth Rosenberg,22
Department of the Treasury,Saade,Javier,,Impact Master Holdings,Volunteer,False,Javier Saade,23
Department of the Treasury,Silvers,Damon,,AFL-CIO,Volunteer,False,Damon Silvers,24
Department of the Treasury,Stevenson,Betsey,,University of Michigan,Volunteer,False,Betsey Stevenson,25
Department of the Treasury,Williams,Jay,,Hartford Foundation for Public Giving,Volunteer,False,Jay Williams,26
Department of the Treasury,Yi,Charles,,"Arnold & Porter Kaye Scholer, LLP",Volunteer,False,Charles Yi,27
Department of Veterans Affairs,Kabat,Meg,,"Atlas Research, LLC",Volunteer,True,Meg Kabat,1
Department of Veterans Affairs,Carter,Phillip,,Tableau Software,Volunteer,False,Phillip Carter,2
Department of Veterans Affairs,Donaghy,Maryanne,,Self-employed,Volunteer,False,Maryanne Donaghy,3
Department of Veterans Affairs,Elnahal,Shereef,,"University Hospital Newark, NJ",Volunteer,False,Shereef Elnahal,4
Department of Veterans Affairs,Horowitz,Mirah,,Lucky Dog Animal Rescue,Volunteer,False,Mirah Horowitz,5
Department of Veterans Affairs,Ippolito,Andrea,,SimpliFed,Volunteer,False,Andrea Ippolito,6
Department of Veterans Affairs,Jacobs,Josh,,Booz Allen Hamilton,Volunteer,False,Josh Jacobs,7
Department of Veterans Affairs,Kagawa,Carrie,,Truman Center for National Policy and Truman National Security Project,Transition — ,False,Carrie Kagawa,8
Department of Veterans Affairs,Lee,Jerry,SH,"Ellison Institute, University of Southern California",Volunteer,False,Jerry SH Lee,9
Department of Veterans Affairs,Marston,Heidi,,Los Angeles Homeless Services Authority,Volunteer,False,Heidi Marston,10
Department of Veterans Affairs,Parker,Steven,,"WorkMerk, LLC",Volunteer,False,Steven Parker,11
Department of Veterans Affairs,Prince-Wheeler,Latriece,,Ascension,Volunteer,False,Latriece Prince-Wheeler,12
Department of Veterans Affairs,Williams,Kayla,,Center for a New American Security,Volunteer,False,Kayla Williams,13
Department of Veterans Affairs,Yehia,Baligh,,Ascension,Volunteer,False,Baligh Yehia,14
Federal Trade Commission,Hippsley,Heather,,Federal Trade Commission (Retired),Volunteer,True,Heather Hippsley,1
Federal Trade Commission,Baer,Bill,,Brookings Institution,Volunteer,False,Bill Baer,2
Federal Trade Commission,Moy,Laura,,Georgetown University,Volunteer,False,Laura Moy,3
General Services Administration,Kale,Katy,,"Elevate, LLC",Volunteer,True,Katy Kale,1
General Services Administration,Denny,Nate,,"State of North Carolina, Department of Information Technology",Volunteer,False,Nate Denny,2
General Services Administration,Garmendia,Zoe,,Democratic National Convention Committee,Volunteer,False,Zoe Garmendia,3
General Services Administration,Hornsby,Michael,,"Salesforce.com, Inc.",Volunteer,False,Michael Hornsby,4
General Services Administration,Rivera,Gianelle,,"Executive Office of Mayor Muriel Bowser, District of Columbia Government",Volunteer,False,Gianelle Rivera,5
General Services Administration,Sawislak,Josh,,"Clio Strategies, LLC",Volunteer,False,Josh Sawislak,6
National Aeronautics and Space Administration,Stofan,Ellen,,The Smithsonian Institution,Volunteer,True,Ellen Stofan,1
National Aeronautics and Space Administration,Abdalati,Waleed,,University of Colorado Boulder,Volunteer,False,Waleed Abdalati,2
National Aeronautics and Space Administration,Isler,Jedidah,,Dartmouth College,Volunteer,False,Jedidah Isler,3
National Aeronautics and Space Administration,Lal,Bhavya,,IDA Science and Technology Policy Institute,Volunteer,False,Bhavya Lal,4
National Aeronautics and Space Administration,Melroy,Pam,,Self-employed,Volunteer,False,Pam Melroy,5
National Aeronautics and Space Administration,Noble,Dave,,American Civil Liberties Union of Michigan,Volunteer,False,Dave Noble,6
National Aeronautics and Space Administration,Valley,Shannon,,Georgia Institute of Technology,Volunteer,False,Shannon Valley,7
National Aeronautics and Space Administration,Weaver,David,,Air Line Pilots Association,Volunteer,False,David Weaver,8
Office of Management and Budget,Coven,Martha,,Princeton University,Volunteer,True,Martha Coven,1
Office of Management and Budget,Belford,Brandon,,"Lyft, Inc.",Volunteer,False,Brandon Belford,2
Office of Management and Budget,Dooling,Bridget,,George Washington University,Volunteer,False,Bridget Dooling,3
Office of Management and Budget,Killingsworth,Cristina,,WestExec Advisors,Volunteer,False,Cristina Killingsworth,4
Office of Management and Budget,Kumaraiah,Divya,,"Airbnb, Inc.",Volunteer,False,Divya Kumaraiah,5
Office of Management and Budget,Montoya,Elisa,,"Meow Wolf, Inc.",Volunteer,False,Elisa Montoya,6
Office of Management and Budget,Schwartz,Mark,,Amazon Web Services,Volunteer,False,Mark Schwartz,7
Office of Management and Budget,Silverberg,Samantha,,Massachusetts Bay Transportation Authority,Volunteer,False,Samantha Silverberg,8
Office of Management and Budget,Young,Christen,Linke,Brookings Institution,Volunteer,False,Christen Linke Young,9
Office of National Drug Control Policy,Gupta,Rahul,,March of Dimes,Volunteer,True,Rahul Gupta,1
Office of National Drug Control Policy,LaBelle,Regina,,Georgetown University,Volunteer,False,Regina LaBelle,2
Office of National Drug Control Policy,Leary,Kim,,Urban Institute,Volunteer,False,Kim Leary,3
Office of National Drug Control Policy,Moreno,Mario,,Washington Office on Latin America,Volunteer,False,Mario Moreno,4
Office of National Drug Control Policy,Noble,Dave,,American Civil Liberties Union of Michigan,Volunteer,False,Dave Noble,5
Office of National Drug Control Policy,O’Connor,Kimberly,,"The Levy Group, Inc.",Volunteer,False,Kimberly O’Connor,6
Office of Science and Technology Policy,Dorgelo,Cristin,,Association of Science and Technology Centers,Volunteer,True,Cristin Dorgelo,1
Office of Science and Technology Policy,Hebbeler,Andrew,,Nuclear Threat Initiative,Volunteer,False,Andrew Hebbeler,2
Office of Science and Technology Policy,Koizumi,Kei,,The American Association for the Advancement of Science,Volunteer,False,Kei Koizumi,3
Office of Science and Technology Policy,Mesfin,Mahlet,,University of Pennsylvania,Volunteer,False,Mahlet Mesfin,4
Office of Science and Technology Policy,Reidmiller,Dave,,Gulf of Maine Research Institute,Volunteer,False,Dave Reidmiller,5
Office of Science and Technology Policy,Singh,Pav,,Self-employed,Volunteer,False,Pav Singh,6
Office of Science and Technology Policy,Szulman,Erin,,EVgo,Volunteer,False,Erin Szulman,7
Office of Science and Technology Policy,Wong,Nicole,,Self-employed,Volunteer,False,Nicole Wong,8
Small Business Administration,Swain,Jonathan,,Harvard University,Volunteer,True,Jonathan Swain,1
Small Business Administration,Briggs,Xavier,,New York University,Volunteer,False,Xavier Briggs,2
Small Business Administration,Chang,Liyan,David,Devoted Health,Volunteer,False,Liyan David Chang,3
Small Business Administration,Chang,Michele,,Markle Foundation,Volunteer,False,Michele Chang,4
Small Business Administration,Chodos,Michael,,Medsphere Systems Corporation,Volunteer,False,Michael Chodos,5
Small Business Administration,Guzman,Isabel,,"State of California, Governor’s Office of Business & Economic Development",Volunteer,False,Isabel Guzman,6
Small Business Administration,Hidalgo,Bibi,,Future Partners LLC,Volunteer,False,Bibi Hidalgo,7
Small Business Administration,Hinson,David,,Ategra Capital Management,Volunteer,False,David Hinson,8
Small Business Administration,James,Chris,,The National Center for American Indian Enterprise Development,Volunteer,False,Chris James,9
Small Business Administration,Kellogg,Clifton,,C-PACE Alliance,Volunteer,False,Clifton Kellogg,10
Small Business Administration,Kim,Ellen,,Roti Modern Mediterranean,Volunteer,False,Ellen Kim,11
Small Business Administration,Plews,Arthur,,Stripe,Volunteer,False,Arthur Plews,12
Small Business Administration,Roth,Michael,,Next Street,Volunteer,False,Michael Roth,13
Small Business Administration,Shaffer,Meredith,,Public Private Strategies,Volunteer,False,Meredith Shaffer,14
Small Business Administration,Silva-Puras,Jorge,,Universidad del Sagrado Corazón in San Juan,Volunteer,False,Jorge Silva-Puras,15
Social Security Administration,Colvin,Carolyn,,Self-employed,Volunteer,True,Carolyn Colvin,1
Social Security Administration,Frey,Scott,,"American Federation of State, County and Municipal Employees",Volunteer,False,Scott Frey,2
Social Security Administration,Holmes,David,,Rebellion Defense,Volunteer,False,David Holmes,3
Social Security Administration,Smalligan,Jack,,Urban Institute,Volunteer,False,Jack Smalligan,4
United States Agency for Global Media,Stengel,Richard,,Self-employed,Volunteer,True,Richard Stengel,1
United States Agency for Global Media,Ahmed,Rumana,,National Democratic Institute,Volunteer,False,Rumana Ahmed,2
United States Agency for Global Media,Conniff,Brian,,Middle East Broadcasting Networks (Retired),Volunteer,False,Brian Conniff,3
United States Agency for Global Media,Gardiner,Raina,,"Juggernaut, LLC",Volunteer,False,Raina Gardiner,4
United States Agency for Global Media,Sherman,Bruce,,Self-employed,Volunteer,False,Bruce Sherman,5
United States Agency for Global Media,Smith,Dana,Shell,Self-employed,Volunteer,False,Dana Shell Smith,6
United States Agency for Global Media,Taylor,Margaret,,Brookings Institution,Volunteer,False,Margaret Taylor,7
United States Digital Service,Bailey,Matt,,PEN America,Volunteer,True,Matt Bailey,1
United States Digital Service,Nacin,Andrew,,Chan Zuckerberg Initiative,Volunteer,False,Andrew Nacin,2
United States Mission to the United Nations,Coleman,Isobel,,GiveDirectly,Volunteer,True,Isobel Coleman,1
United States Mission to the United Nations,Brown,Kaysie,,United Nations Foundation,Volunteer,False,Kaysie Brown,2
United States Mission to the United Nations,Crocker,Bathsheba,,CARE,Volunteer,False,Bathsheba Crocker,3
United States Mission to the United Nations,DeLaurentis,Jeff,,Georgetown University,Volunteer,False,Jeff DeLaurentis,4
United States Mission to the United Nations,Ibrahim,Mounir,,"Truepic, Inc.",Volunteer,False,Mounir Ibrahim,5
United States Mission to the United Nations,Martinez,Leonardo,,World Resources Institute,Volunteer,False,Leonardo Martinez,6
United States Mission to the United Nations,Pan,Michael,,Open Society Foundations,Volunteer,False,Michael Pan,7
United States Mission to the United Nations,Razzouk,Kelly,,The International Rescue Committee,Volunteer,False,Kelly Razzouk,8
United States Mission to the United Nations,Simon,Jen,,Self-employed,Volunteer,False,Jen Simon,9
